,trade_date,symbol,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
0,2021-10-21,sz301083,301083,N百胜,16.88,18.18,16.51,16.51,85.9,7.8,259753,443836512.0,18.39,69.31,48.39,9.08,3002389339,632575350,4.21,20211021
1,2021-10-21,sz001219,001219,N青岛食,24.77,24.77,20.64,20.64,44.01,7.57,6239,15425834.0,24.01,2.81,32.16,17.2,2198337500,549894000,2.67,20211021
2,2021-10-21,sh605555,605555,N德昌,41.97,46.58,38.82,38.82,29.74,9.62,235444,1034689072.0,23.99,47.09,25.44,32.35,7973460600,2098500000,3.71,20211021
3,2021-10-21,sz300472,300472,新元科技,29.44,29.44,24.18,24.97,20.02,4.91,587014,1616101248.0,21.44,25.63,109.81,24.53,7849325802,6743834048,6.56,20150611
4,2021-10-21,sz301013,301013,利和兴,29.62,29.62,24.01,24.31,20.02,4.94,117180,321369920.0,22.73,35.25,92.56,24.68,4615646212,984755584,5.08,20210629
5,2021-10-21,sz300688,300688,创业黑马,36.16,36.16,29.52,29.8,20.01,6.03,304254,1012202880.0,22.04,34.52,374.51,30.13,3948996572,3186650009,6.75,20170810
6,2021-10-21,sh688007,688007,光峰科技,32.89,32.89,28.4,28.41,19.99,5.48,184248,578398880.0,16.38,6.44,49.17,27.41,14891174474,9407202240,6.41,20190722
7,2021-10-21,sz300437,300437,清水源,25.75,25.75,22.2,22.2,19.99,4.29,302683,720852496.0,16.54,19.81,224.62,21.46,6026137210,3933885335,4.77,20150423
8,2021-10-21,sz301069,301069,凯盛新材,40.38,40.8,33.59,34.15,18.24,6.23,124785,458430256.0,21.11,22.15,89.44,34.15,16985443200,2274793248,14.44,20210927
9,2021-10-21,sz300693,300693,盛弘股份,51.96,54.96,44.2,44.99,13.45,6.16,338805,1714372272.0,23.49,24.08,106.55,45.8,10666114616,7310137049,13.6,20170822
10,2021-10-21,sz300653,300653,正海生物,59.37,60.38,53.3,53.5,11.85,6.29,62766,364400320.0,13.34,5.23,42.26,53.08,7124400000,7124400000,9.59,20170516
11,2021-10-21,sh688663,688663,新风光,33.5,35.92,29.2,29.71,11.18,3.37,74159,242245942.0,22.3,23.55,57.22,30.13,4688325000,1054948500,4.74,20210413
12,2021-10-21,sz300727,300727,润禾材料,32.8,34.6,29.2,29.59,10.51,3.12,96310,302925856.0,18.19,8.55,52.95,29.68,4161664000,3694225165,6.68,20171127
