trade_date,stock_code,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
2021-10-28,sz300652,300652,雷迪克,23.68,23.68,19.1,19.53,20.02,3.95,110699,243671710.0,23.21,13.26,26.69,19.73,2227830360,1977436998,2.34,20170516
2021-10-28,sz300828,300828,锐新科技,24.35,24.35,20.5,20.5,20.01,4.06,79095,187119664.0,18.97,14.23,37.03,20.29,2685318000,1353242119,3.56,20200421
2021-10-28,sz300336,300336,新文化,3.9,3.9,3.14,3.17,20.0,0.65,1278700,462121664.0,23.38,17.34,-14.1,3.25,3144297749,2876660619,19.43,20120710
2021-10-28,sz300820,300820,英杰电气,97.57,97.57,80.62,83.13,20.0,16.26,74619,683497936.0,20.85,25.17,57.48,81.31,9301055390,2892254923,8.1,20200213
2021-10-28,sz300781,300781,因赛集团,25.21,25.21,20.88,20.98,19.99,4.2,97577,227332435.0,20.61,27.25,41.53,21.01,2770675958,902784722,4.15,20190606
2021-10-28,sh688399,688399,硕世生物,122.39,126.62,112.75,112.76,15.42,16.35,24720,300851952.0,13.08,7.33,5.4,106.04,7174501800,4129658902,3.07,20191205
2021-10-28,sz300204,300204,舒泰神,12.59,12.87,11.31,11.32,15.4,1.68,150957,182598533.0,14.3,3.24,-35.73,10.91,5993274909,5865318395,4.15,20110415
2021-10-28,sz300766,300766,每日互动,13.46,14.02,11.97,11.98,15.24,1.78,271180,360396992.0,17.55,8.76,45.32,11.68,5385346000,4165912184,3.25,20190325
2021-10-28,sz301012,301012,扬电科技,42.84,43.85,37.12,37.2,14.61,5.46,72764,300117136.0,18.0,36.54,72.9,37.38,3598560000,853036592,6.54,20210622
2021-10-28,sz300969,300969,恒帅股份,139.1,146.04,122.88,126.0,14.3,17.4,39674,552408560.0,19.03,19.84,92.28,121.7,11128000000,2782000000,15.19,20210412
2021-10-28,sz300800,300800,力合科技,22.01,22.67,19.26,19.45,13.75,2.66,83299,176948872.0,17.62,5.75,20.57,19.35,5247184000,3187048000,2.7,20191106
2021-10-28,sh688766,688766,普冉股份,361.67,365.64,333.01,334.0,11.15,36.27,11822,420909680.0,10.03,15.28,57.71,325.4,13102840801,2799054909,7.49,20210823
2021-10-28,sz300598,300598,诚迈科技,82.92,88.88,72.18,73.98,11.08,8.27,222704,1843178736.0,22.37,13.93,-648.4,74.65,13254825765,13253370602,11.86,20170120
2021-10-28,sz300772,300772,运达股份,64.0,69.37,62.16,63.0,10.59,6.13,238424,1546837376.0,12.46,12.42,63.26,57.87,21695370944,12290849344,8.73,20190426
2021-10-28,sz300816,300816,艾可蓝,49.99,50.8,44.06,45.3,10.26,4.65,20217,97635754.0,14.87,5.47,53.34,45.34,3999200000,1848413493,4.96,20200210
2021-10-28,sh600726,600726,华电能源,2.95,2.95,2.65,2.71,10.07,0.27,882129,257293813.0,11.19,5.75,-5.55,2.68,5801691701,4527291695,46.12,19960701
2021-10-28,sh600202,600202,哈空调,5.04,5.04,4.53,4.54,10.04,0.46,208863,102476089.0,11.14,5.45,26.5,4.58,1932036987,1932036987,2.5,19990603
2021-10-28,sh600435,600435,北方导航,10.2,10.2,9.1,9.17,10.03,0.93,981013,972862288.0,11.87,6.59,133.3,9.27,15191064000,15191064000,6.65,20030704
2021-10-28,sh600268,600268,国电南自,10.2,10.2,9.45,9.6,10.03,0.93,385829,384798112.0,8.09,5.55,58.93,9.27,7091704877,7091704877,2.82,19991118
2021-10-28,sh603721,603721,中广天择,14.92,14.92,13.3,13.69,10.03,1.36,171859,241609672.0,11.95,13.22,117.51,13.56,1939600000,1939600000,3.67,20170811
2021-10-28,sz000695,000695,滨海能源,12.51,12.51,11.27,11.38,10.03,1.14,54207,64137538.0,10.91,2.44,-71.21,11.37,2779065713,2773733951,8.1,19970218
2021-10-28,sz002882,002882,金龙羽,11.09,11.09,10.06,10.08,10.02,1.01,128940,140113306.0,10.22,2.99,20.94,10.08,4800861000,4781314875,2.41,20170717
2021-10-28,sh600995,600995,文山电力,18.78,18.78,18.78,18.78,10.02,1.71,50877,95547870.0,0.0,1.06,36.61,17.07,8986725792,8986725792,4.0,20040615
2021-10-28,sh603008,603008,喜临门,25.92,25.92,23.6,24.02,10.02,2.36,71223,180232027.0,9.85,1.84,20.15,23.56,10041869039,10041869039,3.31,20120717
2021-10-28,sh600876,600876,洛阳玻璃,22.41,22.41,20.12,20.3,10.01,2.04,153442,333513504.0,11.24,5.14,36.53,20.37,14469575921,6690291081,3.8,19951031
2021-10-28,sh600131,600131,国网信通,15.49,15.49,14.0,14.0,10.01,1.41,307131,466566768.0,10.58,5.69,37.42,14.08,18516661487,8367920777,3.84,19980402
2021-10-28,sh603683,603683,晶华新材,16.26,16.26,14.96,15.33,10.01,1.48,232437,367157360.0,8.8,13.11,71.61,14.78,2977677540,2883515880,3.06,20171020
2021-10-28,sh603719,603719,良品铺子,40.99,40.99,36.51,36.51,10.01,3.73,74209,292775968.0,12.02,3.32,39.11,37.26,16436990000,9169325069,7.54,20200224
2021-10-28,sh603027,603027,千禾味业,23.41,23.41,22.21,22.21,10.01,2.13,212936,495635872.0,5.64,2.68,106.32,21.28,18699490319,18600795819,9.49,20160307
2021-10-28,sz002953,002953,日丰股份,16.93,16.93,15.12,15.17,10.01,1.54,133077,216310256.0,11.76,17.8,25.56,15.39,4120121369,1265701207,3.61,20190509
2021-10-28,sh603043,603043,广州酒家,21.99,21.99,20.82,20.94,10.01,2.0,124162,268096103.0,5.85,2.2,21.03,19.99,12437426529,12437426529,4.25,20170627
2021-10-28,sz002487,002487,大金重工,34.2,34.2,31.35,31.86,10.0,3.11,372339,1239309392.0,9.17,6.82,32.67,31.09,19003708800,18661153837,7.27,20101015
2021-10-28,sh603713,603713,密尔克卫,105.92,105.92,100.21,101.0,10.0,9.63,17702,184489062.0,5.93,1.09,43.35,96.29,17422191461,17242418741,5.77,20180713
2021-10-28,sh603605,603605,珀莱雅,210.65,210.65,192.66,195.0,10.0,19.15,23091,476952016.0,9.39,1.15,87.22,191.5,42365280251,42269611447,16.2,20171115
2021-10-28,sh603055,603055,台华新材,17.6,17.6,16.11,17.29,10.0,1.6,144454,249906835.0,9.31,1.8,29.14,16.0,15222070829,14092107392,4.81,20170921
2021-10-28,sh603038,603038,华立股份,14.3,14.3,13.43,13.43,10.0,1.3,35925,51054581.0,6.69,1.95,68.61,13.0,2955448167,2633085698,2.21,20170116
2021-10-28,sz002885,002885,京泉华,15.95,15.95,14.34,14.48,10.0,1.45,125658,193521033.0,11.1,10.61,106.5,14.5,2871000000,1888687557,3.53,20170627
2021-10-28,sz002847,002847,盐津铺子,61.71,61.71,55.03,55.2,10.0,5.61,48581,290982832.0,11.91,4.29,77.46,56.1,7982805600,6991437042,9.92,20170208
2021-10-28,sz002815,002815,崇达技术,12.54,12.54,12.39,12.54,10.0,1.14,115395,144543566.0,1.32,2.69,17.98,11.4,10980508057,5388388467,2.55,20161012
2021-10-28,sz002805,002805,丰元股份,33.77,33.77,30.91,30.91,10.0,3.07,139157,460950112.0,9.32,14.32,116.47,30.7,6008770563,3282770725,5.85,20160707
2021-10-28,sz002032,002032,苏 泊 尔,49.94,49.94,44.26,45.01,10.0,4.54,84883,401908080.0,12.51,1.41,24.41,45.4,40385403091,29963556633,5.78,20040817
2021-10-28,sh603198,603198,迎驾贡酒,56.13,56.13,55.8,56.0,9.99,5.1,75444,423365168.0,0.65,0.94,35.01,51.03,44904000000,44904000000,8.1,20150528
2021-10-28,sz002372,002372,伟星新材,17.72,17.72,16.29,16.3,9.99,1.61,159369,278227904.0,8.88,1.11,27.38,16.11,28212242147,25454655552,6.45,20100318
2021-10-28,sh601869,601869,长飞光纤,33.79,33.79,30.18,31.03,9.99,3.07,86598,281066976.0,11.75,2.13,26.72,30.72,25609613599,13730171630,2.74,20180720
2021-10-28,sh603583,603583,捷昌驱动,47.33,47.33,43.04,43.5,9.99,4.3,56999,267677893.0,9.97,1.51,66.28,43.03,18076076944,17887123846,4.93,20180921
2021-10-28,sh603283,603283,赛腾股份,23.57,23.57,20.9,21.42,9.99,2.14,47377,107921341.0,12.46,2.65,20.62,21.43,4288115980,4216088653,3.57,20171225
2021-10-28,sz002705,002705,新宝股份,22.69,22.69,20.4,20.5,9.99,2.06,398356,887260288.0,11.1,4.84,23.65,20.63,18758453328,18673153064,3.13,20140121
2021-10-28,sh600733,600733,北汽蓝谷,14.1,14.1,12.93,13.18,9.98,1.28,2185361,3048633344.0,9.13,9.86,-17.15,12.82,60451072833,31254084210,4.41,19960816
2021-10-28,sh600556,600556,天下秀,9.6,9.6,8.49,8.52,9.97,0.87,343405,315834064.0,12.71,7.21,51.04,8.73,17354377363,4570377437,4.92,20010807
2021-10-28,sz002165,002165,红 宝 丽,8.07,8.07,7.29,7.35,9.95,0.73,1636250,1267052016.0,10.63,27.54,92.92,7.34,5933627585,4794304032,2.78,20070913
